Name,Team,POS,ADP,PA,mAVG,mRBI,mR,mSB,mHR,PTS,aPOS,Dollars,Adjusted,Cost,PlayerId
"Ronald Acuna Jr.","ATL","OF",1.0199999809265137,680.613,13.266074242619892,7.718297205073222,15.148616289475681,13.822507257307633,8.32768456707802,58.283179561554455,12.77060137079154,72.05378093234599,92.2737271376782,52,"18401"
"Fernando Tatis Jr.","SDP","OF",8.1899995803833,647.221,4.70896830697586,6.637527218750053,7.945226381876065,6.4391604601068675,6.632848266033772,32.36373063374261,12.77060137079154,46.13433200453415,60.114047327475426,30,"19709"
"Bobby Witt Jr.","KCR","SS",2.380000114440918,651.29,5.822345997533965,3.3972033359579523,7.9695606504985905,11.43100866883397,3.7259931519368896,32.34611180476137,12.523778086147336,45.86988989090871,59.77944538355796,16,"25764"
"Aaron Judge","NYY","OF/DH",10.890000343322754,622.171,3.017938762978595,10.41048161937459,7.4977230735594445,-1.6221929675257754,11.77556257680894,31.079513065195798,12.77060137079154,44.85011443598734,58.48785706669525,28,"15640"
"Shohei Ohtani","LAD","P/DH",12.850000381469727,605.461,5.921456008698933,7.577397719002009,8.149210735041382,3.8823325824424693,7.763855042123393,33.29425208730819,10.379521535884653,44.673773623192844,58.264311923174276,17,"19755"
"Julio Rodriguez","SEA","OF",2.940000057220459,662.072,4.426224762287777,2.7770384308455567,6.686302265977404,7.268084734487808,3.8048908355228286,24.962541029121375,12.77060137079154,38.73314239991291,50.69843391249483,7,"23697"
"Yordan Alvarez","HOU","OF/DH",16.65999984741211,598.524,6.984811876918037,8.289806535678036,5.244214133049064,-4.056042332928431,8.070737772928972,24.533527985645673,12.77060137079154,38.30412935643721,51.58400646444245,,"19556"
"Mookie Betts","LAD","2B/OF",5.190000057220459,660.633,5.2467794287272955,6.146738168761266,7.408558467459036,0.13488755878462538,4.462476270873867,23.39943989460609,11.93962418498594,36.33906407959203,48.919398648047036,,"13611"
"Juan Soto","NYY","OF",11.470000267028809,664.569,2.597270026751799,5.426964411033983,8.393858269160786,-0.726799843513782,6.439563085880768,22.13085594931356,12.77060137079154,35.901457320105095,47.06795639791235,27,"20123"
"Freddie Freeman","LAD","1B",8.680000305175781,677.836,9.353067192676278,5.370221885461476,6.685542249309231,0.8687166529488581,1.1871451585891397,23.46469313898498,10.957028713941792,35.42172185292678,47.67549225150936,,"5361"
"Vladimir Guerrero Jr.","TOR","1B/DH",32.29999923706055,663.087,6.406131876051471,7.179526310285654,4.855882242922002,-1.9893450814974836,5.655102743762967,22.107298091524612,10.957028713941792,34.06432680546641,44.704200756974444,26,"19611"
"Austin Riley","ATL","3B",19.790000915527344,664.359,4.295392541495139,8.460352323495806,5.870138221839777,-3.50583813355139,7.3430321571087696,22.463077110388102,10.379521535884653,33.842598646272755,44.41846474229026,16,"18360"
"Kyle Tucker","HOU","OF",6.340000152587891,641.915,3.9963685991038322,3.6351528184861976,5.899831523655653,3.452339709682503,2.758618728754099,19.742311379682288,12.77060137079154,33.512912750473824,43.99342729893276,14,"18345"
"Corbin Carroll","ARI","OF",4.849999904632568,632.371,3.4203621961027495,-0.7699092790269422,6.322107772685329,9.913239534066253,-1.3231600430354011,17.56264018079199,12.77060137079154,31.33324155158353,42.131556028877625,,"25878"
"Matt Olson","ATL","1B",17.510000228881836,662.225,-0.12731454492888372,8.326528096646662,5.931946806299623,-3.5697931066310407,8.371377288068352,18.932744539454713,10.957028713941792,30.889773253396502,40.60399016731532,15,"14344"
"Jose Ramirez","CLE","3B/DH",14.9399995803833,655.012,2.65810336200037,4.36436318125532,3.8996576571915305,5.580752951689257,1.7943404628544968,18.297217614990974,10.379521535884653,29.67673915087563,39.88535622227863,,"13510"
"Trea Turner","PHI","SS",12.170000076293945,666.865,3.7220073806107608,1.5864746421402485,4.50887511452343,6.756885551699671,-0.6922565726622854,15.881986116311822,12.523778086147336,29.40576420245916,39.51791704653936,,"16252"
"Rafael Devers","BOS","3B",24.170000076293945,641.364,3.540771435848115,7.07694163524362,2.7973587835209512,-2.667667934881995,5.8711877011654305,16.618591620896122,10.379521535884653,27.99811315678077,36.85180030968771,33,"17350"
"Corey Seager","TEX","SS",25.700000762939453,565.89,6.884822557709544,4.703380898340971,0.9922413635779471,-3.58267411607684,4.18424890153148,13.1820196050831,12.523778086147336,26.705797691230444,35.16952290773953,17,"13624"
"Bryce Harper","PHI","1B/DH",18.059999465942383,632.316,3.5799131310877508,3.308295154548647,4.06991741531009,0.2932455547132265,1.8995236701601566,13.15089492581987,10.957028713941792,25.10792363976167,33.69009051480667,,"11579"
"Marcus Semien","TEX","2B",30.600000381469727,679.732,-0.2506052019020983,3.3272539524454947,4.404077514968343,1.735235008322421,2.2091325464079365,11.425093820242095,11.93962418498594,24.36471800522803,32.11350365554583,5,"12533"
"Kyle Schwarber","PHI","OF/DH",94.55000305175781,648.023,-8.460739805676452,9.222533745369255,3.7654277253993964,-3.243138873247579,9.29614455410117,10.580227345945788,12.77060137079154,24.350828716737325,32.095339924242566,14,"16478"
"Mike Trout","LAA","OF",72.83000183105469,547.639,0.6923107135948028,3.789579568156921,1.6668889305776748,-3.037383005509483,6.024231646442714,9.13562785326263,12.77060137079154,22.90622922405417,30.70461607864598,,"10155"
"Randy Arozarena","TBR","OF",46.849998474121094,636.45,-1.4796715149304627,-0.5999516331048018,3.7005332901302204,6.305030769775586,1.0090794072818594,8.935020319152402,12.77060137079154,22.705621689943943,30.43259437549111,,"19290"
"Michael Harris II","ATL","OF",30.040000915527344,602.549,3.8403324322214862,-0.9928084737931101,2.997304975834894,4.309674170345781,-1.4074865246904409,8.747016579918611,12.77060137079154,22.51761795071015,29.69454918347592,3,"25931"
"Pete Alonso","NYM","1B",27.56999969482422,648.52,-3.5625302393089444,7.168845390113881,1.690772225454326,-2.8177189233071824,7.911934172433766,10.391302625385848,10.957028713941792,22.34833133932764,29.472508119161038,14,"19251"
"Ozzie Albies","ATL","2B",23.31999969482422,641.191,1.369454750240365,2.2689738099522696,3.1526619974781354,1.655497584284538,0.8658407757907615,9.312428917746068,11.93962418498594,22.252053102732006,29.81756014889449,,"16556"
"Francisco Lindor","NYM","SS",24.530000686645508,653.395,-2.667696652575757,1.4596181411068787,2.7437547163464417,2.877487308528109,2.336987299346205,6.750150812751877,12.523778086147336,20.273928898899214,26.74695806210778,27,"12916"
"Luis Robert","CHW","OF",35.36000061035156,602.437,0.2060527300826891,0.33929780686184363,1.2560930538097073,2.3501693881382297,2.3454848464139775,6.497097825306446,12.77060137079154,20.267699196097983,26.738759750069196,17,"20043"
"Adolis Garcia","TEX","OF",48.209999084472656,632.468,-5.230071964721702,3.124505201282621,2.321828715962038,1.1762615396995226,4.176646039179747,5.569169531402227,12.77060137079154,19.339770902193766,25.516722712303583,1,"19287"
"Dansby Swanson","CHC","SS",122.51000213623047,643.537,-0.21738149392792103,2.350130807871395,1.5573801433626484,0.7647621142169342,1.0124046195142318,5.467296191037288,12.523778086147336,18.99107427718463,25.057053647665317,7,"18314"
"Bo Bichette","TOR","SS",38.939998626708984,638.416,5.285193078534858,0.2778084494973598,1.0597065781192863,0.6192404040885309,-2.036348077866993,5.205600432373042,12.523778086147336,18.72937851852038,24.71191090136456,16,"19612"
"Teoscar Hernandez","LAD","OF/DH",129,556.13,0.7943747405027007,2.0479114613302922,0.26486420641347463,-1.0083770385576003,2.3265036305182076,4.425277000207074,12.77060137079154,18.19587837099861,24.007861458499445,19,"13066"
"Gleyber Torres","NYY","2B",86.19000244140625,621.982,1.3377119135835878,0.6660786612234719,1.4581933897524166,0.5566954048869109,0.825958785215683,4.8446381546620705,11.93962418498594,17.78426233964801,23.75928293560741,,"16997"
"Will Smith","LAD","C",87.83000183105469,515.598,1.5333795565695754,-0.8475703439619632,-2.1655889761644582,-3.5268745936962054,-0.4765484791719395,-5.483202836424991,22.117745166372163,17.634542329947173,23.556264179528153,,"19197"
"J.T. Realmuto","PHI","C",72.26000213623047,525.491,-0.8095865035608824,-2.4564017756298706,-2.459546025441828,1.50320026183132,-1.4733545055901545,-5.695688548391416,22.117745166372163,17.42205661798075,23.26813579231902,,"11739"
"William Contreras","MIL","C/DH",77.83000183105469,584.008,0.18796454497030737,-0.3011009351077041,-2.1548731989845864,-3.0752431102600326,-0.9616663053284255,-6.304919004710441,22.117745166372163,16.812826161661725,22.442025710876816,,"20503"
