Name,Team,POS,ADP,IP,mW,mERA,mWHIP,mSO,mSVHLD,PTS,aPOS,Dollars,Adjusted,Cost,PlayerId
"Spencer Strider","ATL","SP",6.940000057220459,175.64,13.175072532576243,19.642325181719073,20.94291072310401,19.34120636664554,-5.757938792303477,67.34357601174139,18.604142185251224,86.94771819699262,113.22472152034092,3,"27498"
"Zack Wheeler","PHI","SP",24.399999618530273,176.888,10.576295406584066,8.95640493797047,10.61528680344555,9.998370292692346,-5.757938792303477,34.38841864838895,18.604142185251224,53.99256083364017,71.19160903050413,13,"10310"
"Freddy Peralta","MIL","SP",55.56999969482422,161.102,7.74989087213253,6.1323227191191085,8.76695967660351,10.8940595613734,-5.757938792303477,27.785294036925073,18.604142185251224,47.3894362221763,63.9035868743438,,"18679"
"Max Fried","ATL","SP",61.2599983215332,151.374,9.33045409358225,11.174467191527063,6.813434071359997,4.347498188199495,-5.757938792303477,25.907914752365325,18.604142185251224,45.51205693761654,60.17824379523537,22,"13743"
"Zach Eflin","TBR","SP",79.88999938964844,148.186,6.034784087365035,4.382451727264964,12.38149266227791,3.511225333031927,-5.757938792303477,20.552015017636364,18.604142185251224,40.15615720288759,54.09533671590181,,"13774"
"George Kirby","SEA","SP",33.56999969482422,166.69,7.529139801137396,1.0620164014060778,11.773519001907278,4.892743825789883,-5.757938792303477,19.499480237937156,18.604142185251224,39.10362242318838,51.80125027384919,1,"25436"
"Pablo Lopez","MIN","SP",34.70000076293945,170.822,8.28031634676045,3.6087077089323496,2.5719819294889175,10.255599081785213,-5.757938792303477,18.958666274663454,18.604142185251224,38.56280845991467,51.93477260396268,,"17085"
"Gerrit Cole","NYY","SP",12.829999923706055,180.223,10.581586340185464,-3.7982577730064686,6.332502083424669,11.583478852393618,-5.757938792303477,18.9413707106938,18.604142185251224,38.54551289594502,51.91132000140258,,"13125"
"Tarik Skubal","DET","SP",50.09000015258789,139.437,4.683438368781477,7.351159378248389,5.921781377327976,6.473115104970615,-5.757938792303477,18.671555437024978,18.604142185251224,38.275697622276205,51.54545333240568,,"22267"
"Kevin Gausman","TOR","SP",28.34000015258789,178.208,9.08060914183807,-3.379996697820214,4.843059637748096,13.226191634590169,-5.757938792303477,18.011924924052646,18.604142185251224,37.61606710930387,49.84997909238681,9,"14107"
"Aaron Nola","PHI","SP",52.279998779296875,173.452,8.94052291905902,-4.750008026558812,9.495667592913504,9.033817765319354,-5.757938792303477,16.962061458429588,18.604142185251224,36.566203643680815,49.227397504377805,,"16149"
"Emmanuel Clase","CLE","RP",52.70000076293945,66.0218,-6.1084936731999235,12.52912891792506,10.372933845582141,-8.09703393076834,11.59285338832256,20.289388547861492,10.894477086331825,32.183865634193324,43.28499332485139,,"21032"
"Luis Castillo","SEA","SP",29.360000610351562,179.498,8.926554479107818,0.771400067575118,-2.1863963110184135,10.293919459857314,-5.757938792303477,12.047538903218356,18.604142185251224,31.651681088469584,42.56335668661362,,"15689"
"Corbin Burnes","BAL","SP",20.229999542236328,177.186,9.357160487449109,1.8849813737791512,-3.23515386900736,9.731097701379733,-5.757938792303477,11.980146901297157,18.604142185251224,31.584289086548377,41.911631207364884,11,"19361"
"Logan Webb","SFG","SP",55.189998626708984,175.179,9.155315435693954,6.295773582343912,-3.72291030989011,4.936040267199043,-5.757938792303477,10.90628018304332,18.604142185251224,30.510422368294545,41.0158218835001,,"17995"
"Edwin Diaz","NYM","RP",42.63999938964844,61.6505,-6.932991238692205,7.5534817471651845,8.257424096467211,-2.4330820711028873,12.046752257784048,18.491584791621353,10.894477086331825,30.386061877953185,40.8471903685479,,"14710"
"Tyler Glasnow","LAD","SP",40.68000030517578,125.256,5.3167931403500335,-0.5241154905309889,5.467327385520161,6.153704712069418,-5.757938792303477,10.655770955105146,18.604142185251224,30.259913140356367,40.16296889795227,1,"14374"
"Joe Ryan","MIN","SP",85.8499984741211,159.204,6.102237236724208,-8.389297121943246,7.616372203408703,8.74870042245097,-5.757938792303477,8.320073948337157,18.604142185251224,27.924216133588374,37.50895347103081,,"21390"
"Joe Musgrove","SDP","SP",96.55000305175781,140.281,4.990368804190133,-2.362963546166886,4.1731803202555176,3.1903118875803336,-5.757938792303477,4.232958673555622,18.604142185251224,23.837100858806846,31.96686821003825,,"12970"
"Yoshinobu Yamamoto","LAD","SP",43.150001525878906,135.595,6.5995803047114805,-0.564769414851313,1.6664188296928228,1.9379514466742747,-5.757938792303477,3.881242373923787,18.604142185251224,23.48538455917501,31.48994461253961,,"sa3023345"
"Josh Hader","HOU","RP",47.810001373291016,58.9768,-6.015833931409219,5.856419130934694,4.909003952360972,-4.109867242425914,10.879896443274843,11.519618352735375,10.894477086331825,23.4140954390672,31.39327731659706,,"14212"
"Devin Williams","MIL","RP",41.54999923706055,61.3196,-6.567366463036382,9.18977808491936,2.2518633728200648,-3.929310123324031,9.1901133777648,10.13507824914381,10.894477086331825,22.02955533547564,29.515855520174135,,"15816"
"Zac Gallen","ARI","SP",39.31999969482422,171.735,8.665910331623433,-5.06393479449505,-3.829504050960636,8.340974499269437,-5.757938792303477,2.3555071931337053,18.604142185251224,21.959649378384928,29.156777000675415,6,"19291"
